"y";"c";"ncomp";"nperc";"area3";"sex";"anasc";"eta";"yearedu"
22840,318097;18000;1;1;2;2;1932;82;5
38507,448057;21600;2;2;2;2;1944;70;8
18765,614643;12720;2;1;2;2;1951;63;5
26080,211504;21800;2;1;2;2;1951;63;13
36440,665282;24500;1;1;2;2;1947;67;18
25447,264076;15600;1;1;2;1;1941;73;18
58943,983378;28700;7;3;2;2;1955;59;5
24923,30563;18000;1;1;2;2;1960;54;13
12802,330563;15862;3;2;2;2;1954;60;13
17818,326408;16800;3;1;2;2;1946;68;5
13019,362049;17700;1;1;2;1;1935;79;5
37875,142959;28000;2;2;2;1;1950;64;8
18295,406965;14900;2;2;3;2;1935;79;0
34965,520579;31520;4;3;3;2;1959;55;5
18543,281808;16200;1;1;3;2;1934;80;5
12650,17377;6600;1;1;3;1;1930;84;8
25504,981014;27960;2;1;3;1;1943;71;8
11880;9600;1;1;3;2;1932;82;5
22073,30563;20400;2;2;3;2;1956;58;11
27751,602837;15900;2;1;3;2;1949;65;18
24807,076151;16800;3;1;3;1;1964;50;8
15600;14420;3;1;3;2;1963;51;5
21165,272429;13200;2;2;3;2;1950;64;5
15629,6;10269,6;4;1;3;2;1960;54;13
33072,99281;22300;2;1;3;1;1942;72;8
23631,154893;23950;3;2;3;1;1963;51;8
14551,103563;6600;1;1;3;2;1942;72;5
18190;18310;1;1;3;1;1928;86;5
48817,821773;26000;3;2;3;2;1965;49;8
52329,530532;63700;2;2;3;1;1943;71;13
36013,298753;18800;2;2;3;1;1941;73;18
10,597946338;14100;4;1;3;2;1969;45;5
29454,400904;24600;5;1;3;2;1974;40;8
26098;26200;3;2;3;1;1964;50;8
11400;15360;2;2;3;1;1959;55;8
47642,539299;28500;4;3;3;1;1957;57;8
37991,583607;28560;2;2;3;2;1942;72;13
33014,661126;24000;1;1;3;2;1956;58;13
22945,159048;19200;2;1;3;1;1937;77;5
16400;10900;1;1;3;1;1951;63;5
14231,331307;10650;1;1;3;2;1935;79;0
14555,297785;11500;3;2;3;2;1960;54;5
40590,663106;22000;2;2;3;1;1944;70;5
29366,272306;24900;1;1;3;1;1948;66;18
58789,662743;33000;2;2;3;1;1932;82;13
17550;10880;2;1;3;1;1951;63;13
17024,729799;16600;1;1;3;1;1957;57;8
39864,75354;27500;5;3;3;1;1959;55;11
10692,987534;7700;1;1;3;2;1947;67;5
18887,828485;14300;2;1;3;1;1950;64;5
20200;16200;4;1;3;1;1976;38;13
20587,652002;17100;2;1;3;1;1949;65;8
7801,4661126;7560;3;1;3;2;1930;84;0
18610,995845;12900;1;1;3;2;1921;93;11
19818,326408;17700;2;1;3;2;1945;69;5
23418,326408;15900;2;2;3;2;1938;76;8
13010,995845;17100;2;2;3;1;1935;79;5
9973,2777962;8400;1;1;3;2;1923;91;5
41803,665282;42200;4;2;3;1;1957;57;16
13221,991689;7600;2;2;3;2;1939;75;5
11000;9800;1;1;3;1;1936;78;5
14400;14400;3;1;3;1;1951;63;5
19350;26550;2;1;3;1;1931;83;5
18000;24300;2;1;3;1;1933;81;8
7669,7291483;6000;1;1;3;2;1950;64;5
14792,828485;12000;3;2;3;2;1950;64;5
24320,34281;21700;2;1;3;1;1946;68;13
31610,995845;11200;3;2;3;1;1950;64;5
19143,257344;13400;2;2;3;2;1955;59;0
16087,489611;12000;4;2;3;1;1946;68;5
8905,355325;7200;1;1;3;2;1940;74;0
21115,394182;13800;2;1;3;2;1958;56;8
46577,238832;31000;4;3;3;1;1969;45;13
47500,384604;27000;5;4;3;1;1944;70;5
7003,2987534;8240;1;1;3;1;1968;46;13
16476,652815;14050;1;1;3;2;1938;76;5
30545,902301;23100;2;1;3;1;1935;79;8
20567,944038;13400;1;1;3;2;1938;76;8
18805,227604;21400;5;1;3;1;1963;51;13
7812,8284853;9400;1;1;3;2;1927;87;8
26200,246236;32900;5;1;3;2;1965;49;13
39713,348917;31800;3;3;3;1;1944;70;11
24602,762683;29800;3;2;3;2;1967;47;8
10300;14200;3;1;3;2;1959;55;13
12002,199169;12240;3;1;3;2;1957;57;5
20203,665282;16800;4;2;3;1;1966;48;8
9600;9000;1;1;3;2;1944;70;0
12805,497922;14800;1;1;3;2;1935;79;5
47124,180968;16000;2;2;1;2;1953;61;18
24221,991689;31400;4;1;3;1;1975;39;8
36931,708363;37000;2;2;1;1;1941;73;8
57157,095429;45950;3;3;1;1;1956;58;8
43446,117329;34360;2;2;1;1;1955;59;13
41390;34600;2;2;1;2;1938;76;8
15103,665282;10550;2;1;3;1;1937;77;5
12109,163204;4200;3;1;3;1;1946;68;5
34240,10088;18600;2;2;1;2;1935;79;5
32646,611261;17200;2;2;1;2;1957;57;13
30174,528152;15800;2;2;1;1;1937;77;8
44091,632038;19700;3;2;1;1;1956;58;18
29225,656971;16800;1;1;1;1;1966;48;21
49593,941824;48900;2;2;1;2;1964;50;13
69092,664682;51800;3;2;3;2;1972;42;13
42049,72416;56138,195551;2;2;1;2;1935;79;13
128016,57773;79400;4;2;1;1;1959;55;18
48274,160196;51300;2;2;1;1;1957;57;8
51886,359311;35160;1;1;1;1;1939;75;13
23932,863673;22200;2;1;2;2;1936;78;5
69003,423125;52600;4;4;2;2;1968;46;13
34419,076292;24200;1;1;2;1;1950;64;18
39635,991119;26150;2;2;1;2;1952;62;13
20158,779055;25000;1;1;1;2;1969;45;13
29917,515505;22200;1;1;1;2;1956;58;13
23640;27370;1;1;1;2;1933;81;18
21300;16800;1;1;1;2;1942;72;5
9100;5190;1;1;3;2;1931;83;0
23310,556591;15000;2;2;3;1;1933;81;13
15773,1247;11700;2;1;3;2;1955;59;8
56523,649911;38200;2;2;3;1;1954;60;18
26175,656971;19500;1;1;3;2;1941;73;18
45410,975874;22800;4;2;2;1;1960;54;8
32711,54893;27000;1;1;2;1;1926;88;18
22112,910898;18000;2;2;1;2;1938;76;5
97663,11102;80000;3;2;1;1;1958;56;13
43079,323863;26000;2;2;1;1;1958;56;13
14774,322252;12000;1;1;2;2;1942;72;5
139528,97388;113400;3;2;1;1;1941;73;21
102759,23584;104000;2;1;1;2;1947;67;13
28131,357284;26800;2;2;1;1;1939;75;8
30438,994726;26960;3;1;3;2;1961;53;13
78634,532902;30900;2;2;1;1;1957;57;8
50712,53383;41500;2;2;1;2;1949;65;13
61023,30563;62700;2;2;1;1;1951;63;13
30627,141679;28750;3;1;1;2;1968;46;18
66017,259736;38700;4;3;1;1;1958;56;8
15008,326408;11650;2;1;2;1;1967;47;13
21086,652815;16800;1;1;2;2;1954;60;11
47727,966757;20700;4;4;2;2;1961;53;8
40029,322252;34700;4;1;3;1;1959;55;18
68718,310574;58100;2;2;1;1;1949;65;11
17701,446064;14240;1;1;1;2;1953;61;8
10411,690357;9240;1;1;1;2;1952;62;5
15878,708323;14800;1;1;1;2;1935;79;5
10530;8360;2;2;3;1;1939;75;13
20543,678727;6984;2;2;3;1;1948;66;11
19508,927166;12600;4;2;3;2;1966;48;8
21472,732583;16800;6;2;3;1;1960;54;8
27626,294011;25100;2;2;1;2;1957;57;5
11131,942545;13400;3;1;3;2;1958;56;8
7540;6000;3;1;3;2;1934;80;5
32800;30800;4;1;3;1;1958;56;13
42740,318097;23200;2;2;3;1;1940;74;18
29376,492261;23400;2;2;3;1;1952;62;8
18440,318097;20700;2;1;3;2;1955;59;13
58619,658318;31600;2;2;1;1;1946;68;11
